Region	Fst
North	0.24234
North	0.18662
North	0.22799
North	0.11048
North	0.0945
North	0.0503
North	0.35638000000000003
North	0.2323
North	0.36363
North	0.2745
North	0.30266
North	0.23199999999999998
North	0.12158
North	0.0392
North	0.057999999999999996
North	0.0
North	0.0691
North	0.0
North	0.14465999999999998
North	0.20218
North	0.0203
North	0.0
North	0.0798
North	0.1218
North	0.0
North	0.20234000000000002
North	0.0394
North	0.41815
North	0.0621
North	0.22491999999999998
North	0.0
North	0.10462
North	0.0
North	0.17824
North	0.0592
North	0.30306
North	0.16833
North	0.13447
North	0.0
North	0.0
North	0.0547
North	0.0
North	0.10890999999999999
North	0.11538
North	0.046
North	0.0
North	0.0
North	0.0
North	0.11483
North	0.14993
North	0.0204
North	0.0
North	0.0
North	0.0
North	0.0
North	0.0
North	0.0
North	0.0
North	0.16032000000000002
North	0.0
North	0.0
North	0.0557
North	0.0
North	0.28806
North	0.0237
North	0.17647000000000002
South	0.51376
South	0.23696
South	0.10519
South	0.31742
South	0.37796
South	0.36194
South	0.55913
South	0.5384899999999999
South	0.43686
South	0.80862
South	0.51207
South	0.8264
South	0.42575
South	0.71434
South	0.9589700000000001
South	0.33638
South	0.0467
South	0.30301999999999996
South	0.27723000000000003
South	0.41741999999999996
South	0.72055
South	0.21504
South	0.27503
South	0.32981
South	0.44937
South	0.44703999999999994
South	0.11192
South	0.0936
South	0.17393
South	0.52771
South	0.0741
South	0.0981
South	0.20865
South	0.0641
South	0.30016
South	0.38128
