depth	Genotype_Concordance	Class
13.11	0.996444534	before beagle phasing
13.21	0.996820116	before beagle phasing
13.23	0.996297784	before beagle phasing
13.25	0.997214736	before beagle phasing
13.28	0.997468229	before beagle phasing
13.29	0.997360158	before beagle phasing
13.33	0.997476747	before beagle phasing
13.38	0.99678622	before beagle phasing
13.4	0.996774645	before beagle phasing
13.4	0.997485979	before beagle phasing
13.42	0.997724674	before beagle phasing
13.48	0.996848393	before beagle phasing
13.53	0.996862654	before beagle phasing
13.53	0.997433676	before beagle phasing
13.53	0.996828074	before beagle phasing
13.57	0.997463384	before beagle phasing
13.63	0.997055226	before beagle phasing
13.69	0.997256249	before beagle phasing
13.71	0.997629384	before beagle phasing
13.71	0.997066149	before beagle phasing
13.73	0.997492867	before beagle phasing
13.78	0.997076482	before beagle phasing
13.8	0.997055787	before beagle phasing
13.83	0.997245671	before beagle phasing
13.89	0.997285419	before beagle phasing
13.93	0.996820816	before beagle phasing
13.95	0.996731394	before beagle phasing
13.99	0.997692478	before beagle phasing
14.06	0.997714409	before beagle phasing
14.08	0.997417666	before beagle phasing
14.1	0.99675905	before beagle phasing
14.11	0.997351656	before beagle phasing
14.11	0.997382116	before beagle phasing
14.15	0.997947121	before beagle phasing
14.19	0.997410095	before beagle phasing
14.21	0.997170748	before beagle phasing
14.23	0.997751703	before beagle phasing
14.25	0.996949646	before beagle phasing
14.32	0.997752375	before beagle phasing
14.34	0.997661833	before beagle phasing
14.38	0.996787848	before beagle phasing
14.38	0.99786311	before beagle phasing
14.43	0.997432562	before beagle phasing
14.49	0.997558653	before beagle phasing
14.52	0.997719685	before beagle phasing
14.54	0.997928734	before beagle phasing
14.58	0.997667902	before beagle phasing
14.61	0.997806729	before beagle phasing
14.65	0.998060786	before beagle phasing
14.67	0.998164762	before beagle phasing
14.7	0.997178821	before beagle phasing
14.74	0.998396683	before beagle phasing
14.81	0.997953073	before beagle phasing
14.82	0.99772014	before beagle phasing
14.84	0.997624794	before beagle phasing
14.86	0.998120298	before beagle phasing
14.93	0.998181868	before beagle phasing
14.94	0.997659175	before beagle phasing
14.95	0.998272128	before beagle phasing
14.97	0.998164508	before beagle phasing
15.03	0.998227035	before beagle phasing
15.07	0.998240667	before beagle phasing
15.15	0.998443428	before beagle phasing
15.16	0.998176439	before beagle phasing
15.26	0.998485826	before beagle phasing
15.32	0.99848681	before beagle phasing
15.34	0.99843171	before beagle phasing
15.41	0.998050357	before beagle phasing
15.42	0.998541542	before beagle phasing
15.53	0.998171304	before beagle phasing
15.54	0.998260077	before beagle phasing
15.57	0.998067144	before beagle phasing
15.59	0.997225742	before beagle phasing
15.64	0.998090047	before beagle phasing
15.64	0.998349095	before beagle phasing
15.67	0.998044437	before beagle phasing
15.73	0.99855537	before beagle phasing
15.79	0.99866834	before beagle phasing
15.84	0.998665605	before beagle phasing
15.85	0.998055948	before beagle phasing
15.91	0.998042632	before beagle phasing
15.96	0.998249114	before beagle phasing
16	0.998600607	before beagle phasing
