depth	Heterozygote_Discordance	Class
13.11	0.134085324	Pre-genotype refinement
13.21	0.112962911	Pre-genotype refinement
13.23	0.118664833	Pre-genotype refinement
13.25	0.103283944	Pre-genotype refinement
13.28	0.094599103	Pre-genotype refinement
13.29	0.090843428	Pre-genotype refinement
13.33	0.092048626	Pre-genotype refinement
13.38	0.104270914	Pre-genotype refinement
13.4	0.106084021	Pre-genotype refinement
13.4	0.086460547	Pre-genotype refinement
13.42	0.081151047	Pre-genotype refinement
13.48	0.117917459	Pre-genotype refinement
13.53	0.100255272	Pre-genotype refinement
13.53	0.088138247	Pre-genotype refinement
13.53	0.111281077	Pre-genotype refinement
13.57	0.087641841	Pre-genotype refinement
13.63	0.095953693	Pre-genotype refinement
13.69	0.100148116	Pre-genotype refinement
13.71	0.079388611	Pre-genotype refinement
13.71	0.083769813	Pre-genotype refinement
13.73	0.093403736	Pre-genotype refinement
13.78	0.09940626	Pre-genotype refinement
13.8	0.109124573	Pre-genotype refinement
13.83	0.097189379	Pre-genotype refinement
13.89	0.074328734	Pre-genotype refinement
13.93	0.089109982	Pre-genotype refinement
13.95	0.103251757	Pre-genotype refinement
13.99	0.084271245	Pre-genotype refinement
14.06	0.074554021	Pre-genotype refinement
14.08	0.093317685	Pre-genotype refinement
14.1	0.090759584	Pre-genotype refinement
14.11	0.080943564	Pre-genotype refinement
14.11	0.100322181	Pre-genotype refinement
14.15	0.073515734	Pre-genotype refinement
14.19	0.098147998	Pre-genotype refinement
14.21	0.096274367	Pre-genotype refinement
14.23	0.088672261	Pre-genotype refinement
14.25	0.108516734	Pre-genotype refinement
14.32	0.076459131	Pre-genotype refinement
14.34	0.072525101	Pre-genotype refinement
14.38	0.094255131	Pre-genotype refinement
14.38	0.070228985	Pre-genotype refinement
14.43	0.091282372	Pre-genotype refinement
14.49	0.078674328	Pre-genotype refinement
14.52	0.06805223	Pre-genotype refinement
14.54	0.068222554	Pre-genotype refinement
14.58	0.073261834	Pre-genotype refinement
14.61	0.072533263	Pre-genotype refinement
14.65	0.072930188	Pre-genotype refinement
14.67	0.064846339	Pre-genotype refinement
14.7	0.101620076	Pre-genotype refinement
14.74	0.055460762	Pre-genotype refinement
14.81	0.064010472	Pre-genotype refinement
14.82	0.072952918	Pre-genotype refinement
14.84	0.084341903	Pre-genotype refinement
14.86	0.070115402	Pre-genotype refinement
14.93	0.065039034	Pre-genotype refinement
14.94	0.073217649	Pre-genotype refinement
14.95	0.055594095	Pre-genotype refinement
14.97	0.062018587	Pre-genotype refinement
15.03	0.067426834	Pre-genotype refinement
15.07	0.057643729	Pre-genotype refinement
15.15	0.052057501	Pre-genotype refinement
15.16	0.062047852	Pre-genotype refinement
15.26	0.050326364	Pre-genotype refinement
15.32	0.051162605	Pre-genotype refinement
15.34	0.065006065	Pre-genotype refinement
