depth	Non_ref_Genotype_Concordance	Class
13.11	0.915593705	Pre-genotype refinement
13.21	0.929322804	Pre-genotype refinement
13.23	0.924467971	Pre-genotype refinement
13.25	0.935801808	Pre-genotype refinement
13.28	0.940979027	Pre-genotype refinement
13.29	0.942918505	Pre-genotype refinement
13.33	0.942221242	Pre-genotype refinement
13.38	0.9347772	Pre-genotype refinement
13.4	0.932793751	Pre-genotype refinement
13.4	0.945718543	Pre-genotype refinement
13.42	0.949121462	Pre-genotype refinement
13.48	0.925692823	Pre-genotype refinement
13.53	0.937143421	Pre-genotype refinement
13.53	0.944415682	Pre-genotype refinement
13.53	0.929367249	Pre-genotype refinement
13.57	0.945822871	Pre-genotype refinement
13.63	0.939319982	Pre-genotype refinement
13.69	0.93674116	Pre-genotype refinement
13.71	0.949869077	Pre-genotype refinement
13.71	0.946515995	Pre-genotype refinement
13.73	0.941211712	Pre-genotype refinement
13.78	0.936889244	Pre-genotype refinement
13.8	0.930702364	Pre-genotype refinement
13.83	0.938590511	Pre-genotype refinement
13.89	0.951912851	Pre-genotype refinement
13.93	0.942208736	Pre-genotype refinement
13.95	0.935339946	Pre-genotype refinement
13.99	0.947225608	Pre-genotype refinement
14.06	0.953003773	Pre-genotype refinement
14.08	0.94172264	Pre-genotype refinement
14.1	0.942325052	Pre-genotype refinement
14.11	0.94923704	Pre-genotype refinement
14.11	0.937040265	Pre-genotype refinement
14.15	0.954022751	Pre-genotype refinement
14.19	0.93876891	Pre-genotype refinement
14.21	0.939178628	Pre-genotype refinement
14.23	0.944298317	Pre-genotype refinement
14.25	0.93051978	Pre-genotype refinement
14.32	0.953037853	Pre-genotype refinement
14.34	0.953657264	Pre-genotype refinement
14.38	0.939875128	Pre-genotype refinement
14.38	0.955572042	Pre-genotype refinement
14.43	0.942842916	Pre-genotype refinement
14.49	0.950205054	Pre-genotype refinement
14.52	0.956837632	Pre-genotype refinement
14.54	0.956708656	Pre-genotype refinement
14.58	0.953854532	Pre-genotype refinement
14.61	0.954514342	Pre-genotype refinement
14.65	0.953978535	Pre-genotype refinement
14.67	0.959304282	Pre-genotype refinement
14.7	0.93567345	Pre-genotype refinement
14.74	0.965069716	Pre-genotype refinement
14.81	0.960023552	Pre-genotype refinement
14.82	0.954618351	Pre-genotype refinement
14.84	0.946748674	Pre-genotype refinement
14.86	0.955932912	Pre-genotype refinement
14.93	0.959668145	Pre-genotype refinement
14.94	0.953212837	Pre-genotype refinement
14.95	0.965106647	Pre-genotype refinement
14.97	0.960880648	Pre-genotype refinement
15.03	0.957782538	Pre-genotype refinement
15.07	0.963766117	Pre-genotype refinement
15.15	0.968234278	Pre-genotype refinement
15.16	0.960878005	Pre-genotype refinement
15.26	0.968340176	Pre-genotype refinement
15.32	0.968106729	Pre-genotype refinement
15.34	0.96001773	Pre-genotype refinement
15.41	0.962718105	Pre-genotype refinement
15.42	0.968905598	Pre-genotype refinement
15.53	0.966039863	Pre-genotype refinement
15.54	0.965676435	Pre-genotype refinement
15.57	0.96516316	Pre-genotype refinement
15.59	0.941808891	Pre-genotype refinement
15.64	0.961778503	Pre-genotype refinement
15.64	0.962161569	Pre-genotype refinement
15.67	0.967691195	Pre-genotype refinement
15.73	0.970897145	Pre-genotype refinement
15.79	0.971795889	Pre-genotype refinement
15.84	0.975011685	Pre-genotype refinement
15.85	0.967448467	Pre-genotype refinement
15.91	0.964253627	Pre-genotype refinement
15.96	0.968353551	Pre-genotype refinement
16	0.972400357	Pre-genotype refinement
16.04	0.966651655	Pre-genotype refinement
16.14	0.971498144	Pre-genotype refinement
16.22	0.976027422	Pre-genotype refinement
16.33	0.964092845	Pre-genotype refinement
16.41	0.973271642	Pre-genotype refinement
16.51	0.976823106	Pre-genotype refinement
16.62	0.971106825	Pre-genotype refinement
16.65	0.96477854	Pre-genotype refinement
16.67	0.971299719	Pre-genotype refinement
16.72	0.974736197	Pre-genotype refinement
16.83	0.978344291	Pre-genotype refinement
16.84	0.976330917	Pre-genotype refinement
16.96	0.977027178	Pre-genotype refinement
17.03	0.973754398	Pre-genotype refinement
17.03	0.977817005	Pre-genotype refinement
17.11	0.979585574	Pre-genotype refinement
17.15	0.978823758	Pre-genotype refinement
17.22	0.974683197	Pre-genotype refinement
17.25	0.978107793	Pre-genotype refinement
17.32	0.97894764	Pre-genotype refinement
17.35	0.978051016	Pre-genotype refinement
17.38	0.972143047	Pre-genotype refinement
17.44	0.974990009	Pre-genotype refinement
17.45	0.981184787	Pre-genotype refinement
17.57	0.980753756	Pre-genotype refinement
17.59	0.981454275	Pre-genotype refinement
17.59	0.979872092	Pre-genotype refinement
17.61	0.979373331	Pre-genotype refinement
17.66	0.980237366	Pre-genotype refinement
