depth	Non_ref_Sensitivity	Class
13.11	0.921056024	Pre-genotype refinement
13.21	0.934703536	Pre-genotype refinement
13.23	0.930927094	Pre-genotype refinement
13.25	0.940493559	Pre-genotype refinement
13.28	0.944826385	Pre-genotype refinement
13.29	0.947254928	Pre-genotype refinement
13.33	0.946691923	Pre-genotype refinement
13.38	0.940027008	Pre-genotype refinement
13.4	0.937985318	Pre-genotype refinement
13.4	0.94970846	Pre-genotype refinement
13.42	0.95277543	Pre-genotype refinement
13.48	0.930727184	Pre-genotype refinement
13.53	0.942488654	Pre-genotype refinement
13.53	0.948947937	Pre-genotype refinement
13.53	0.934558091	Pre-genotype refinement
13.57	0.950154874	Pre-genotype refinement
13.63	0.943934866	Pre-genotype refinement
13.69	0.941290066	Pre-genotype refinement
13.71	0.95362916	Pre-genotype refinement
13.71	0.952042319	Pre-genotype refinement
13.73	0.945263652	Pre-genotype refinement
13.78	0.941750107	Pre-genotype refinement
13.8	0.935393616	Pre-genotype refinement
13.83	0.943080266	Pre-genotype refinement
13.89	0.956882358	Pre-genotype refinement
13.93	0.947889241	Pre-genotype refinement
13.95	0.940696673	Pre-genotype refinement
13.99	0.951203686	Pre-genotype refinement
14.06	0.956760509	Pre-genotype refinement
14.08	0.945875742	Pre-genotype refinement
14.1	0.946619206	Pre-genotype refinement
14.11	0.953301249	Pre-genotype refinement
14.11	0.941371741	Pre-genotype refinement
14.15	0.957404914	Pre-genotype refinement
14.19	0.943227781	Pre-genotype refinement
14.21	0.943733766	Pre-genotype refinement
14.23	0.94791199	Pre-genotype refinement
14.25	0.935754026	Pre-genotype refinement
14.32	0.956597309	Pre-genotype refinement
14.34	0.95806595	Pre-genotype refinement
14.38	0.945495825	Pre-genotype refinement
14.38	0.959340968	Pre-genotype refinement
14.43	0.947317439	Pre-genotype refinement
14.49	0.954363439	Pre-genotype refinement
14.52	0.960819297	Pre-genotype refinement
14.54	0.960299884	Pre-genotype refinement
14.58	0.957882721	Pre-genotype refinement
14.61	0.958218995	Pre-genotype refinement
14.65	0.957313449	Pre-genotype refinement
14.67	0.962322293	Pre-genotype refinement
14.7	0.940357904	Pre-genotype refinement
14.74	0.967573791	Pre-genotype refinement
14.81	0.963133395	Pre-genotype refinement
14.82	0.958253168	Pre-genotype refinement
14.84	0.950552415	Pre-genotype refinement
14.86	0.959263807	Pre-genotype refinement
14.93	0.962765393	Pre-genotype refinement
14.94	0.957517643	Pre-genotype refinement
14.95	0.968117565	Pre-genotype refinement
14.97	0.963997838	Pre-genotype refinement
15.03	0.960757131	Pre-genotype refinement
15.07	0.966691388	Pre-genotype refinement
15.15	0.970878543	Pre-genotype refinement
15.16	0.963993043	Pre-genotype refinement
15.26	0.971052027	Pre-genotype refinement
15.32	0.970663261	Pre-genotype refinement
15.34	0.962658787	Pre-genotype refinement
15.41	0.966401289	Pre-genotype refinement
15.42	0.971332037	Pre-genotype refinement
15.53	0.969577715	Pre-genotype refinement
15.54	0.968623105	Pre-genotype refinement
15.57	0.968412674	Pre-genotype refinement
15.59	0.946139072	Pre-genotype refinement
15.64	0.965204011	Pre-genotype refinement
15.64	0.964804209	Pre-genotype refinement
15.67	0.971586435	Pre-genotype refinement
15.73	0.973370061	Pre-genotype refinement
15.79	0.974012596	Pre-genotype refinement
15.84	0.977085653	Pre-genotype refinement
15.85	0.970935049	Pre-genotype refinement
15.91	0.967862194	Pre-genotype refinement
15.96	0.971072614	Pre-genotype refinement
16	0.974795011	Pre-genotype refinement
16.04	0.969397924	Pre-genotype refinement
16.14	0.973949565	Pre-genotype refinement
16.22	0.97857891	Pre-genotype refinement
16.33	0.967093265	Pre-genotype refinement
16.41	0.975631219	Pre-genotype refinement
16.51	0.978860445	Pre-genotype refinement
16.62	0.9740944	Pre-genotype refinement
16.65	0.969075296	Pre-genotype refinement
16.67	0.973958049	Pre-genotype refinement
16.72	0.977373048	Pre-genotype refinement
16.83	0.980362522	Pre-genotype refinement
16.84	0.978711955	Pre-genotype refinement
16.96	0.979268115	Pre-genotype refinement
17.03	0.976096364	Pre-genotype refinement
17.03	0.979419328	Pre-genotype refinement
17.11	0.981967274	Pre-genotype refinement
17.15	0.980852217	Pre-genotype refinement
17.22	0.976718869	Pre-genotype refinement
17.25	0.97982021	Pre-genotype refinement
17.32	0.980976598	Pre-genotype refinement
17.35	0.981065483	Pre-genotype refinement
17.38	0.975029992	Pre-genotype refinement
17.44	0.976996738	Pre-genotype refinement
17.45	0.982910135	Pre-genotype refinement
17.57	0.982235467	Pre-genotype refinement
17.59	0.98320176	Pre-genotype refinement
17.59	0.982246702	Pre-genotype refinement
17.61	0.983517764	Pre-genotype refinement
