ind,CHB,JPT,CHS,CDX,KHV,CEU,TSI,FIN,GBR,IBS,YRI,LWK,GWD,MSL,ESN,ASW,ACB,MXL,PUR,CLM,PEL,GIH,PJL,BEB,STU,ITU,North,South,Central,Lingnan
CHB,0.0,6.997800000000001,1.2697,9.5163,6.7736,103.24000000000001,102.37,96.101,103.30999999999999,102.36000000000001,165.18,156.04000000000002,161.8,166.42000000000002,166.05,122.80999999999999,141.99,65.69900000000001,79.562,72.375,81.277,71.505,69.106,54.802,65.93599999999999,67.173,0.27674,0.51764,0.12494000000000001,3.1980999999999997
JPT,6.997800000000001,0.0,9.3949,18.381999999999998,14.938,106.30999999999999,105.42999999999999,98.757,106.28,105.25999999999999,167.80999999999997,158.64000000000001,164.37,169.1,168.76,125.55999999999997,144.69000000000003,67.16900000000001,81.962,74.393,82.255,73.835,71.602,57.58200000000001,68.091,69.42899999999999,6.9399,8.3477,7.244,11.682
CHS,1.2697,9.3949,0.0,5.3828000000000005,3.6899999999999995,106.17999999999999,105.25999999999999,99.072,106.30000000000001,105.19000000000001,167.34,158.15,163.87,168.5,168.17000000000002,125.24000000000002,144.19000000000003,68.938,82.438,75.385,84.52600000000001,73.59100000000001,71.274,56.461000000000006,67.68400000000001,69.06099999999999,2.5349,0.22206,1.6596,0.83294
CDX,9.5163,18.381999999999998,5.3828000000000005,0.0,2.3035,107.72000000000001,106.75999999999999,101.06,107.91,106.67,166.79000000000002,157.53,163.35999999999999,167.92000000000002,167.54000000000002,125.13,143.68,72.635,84.09,77.733,89.64999999999999,74.21,71.94099999999999,56.815,67.978,69.494,12.042,6.4351,10.552,2.6673
KHV,6.7736,14.938,3.6899999999999995,2.3035,0.0,102.88,101.91,96.41900000000001,102.94,101.92000000000002,163.47,154.29000000000002,160.16,164.58,164.32,121.45,140.29,68.01499999999999,79.74099999999999,73.338,85.43400000000001,69.313,67.247,52.25,63.31,64.731,8.9675,4.447299999999999,7.693300000000001,1.8683
CEU,103.24000000000001,106.30999999999999,106.17999999999999,107.72000000000001,102.88,0.0,3.9039,6.726899999999999,0.31606,2.5736,146.56,135.35,142.0,147.06,147.29999999999998,91.297,115.75999999999999,37.049,11.422,16.253,87.45499999999998,35.092,29.226,40.211999999999996,41.4,40.671,103.59000000000002,108.02000000000001,104.97000000000001,106.85
TSI,102.37,105.42999999999999,105.25999999999999,106.75999999999999,101.91,3.9039,0.0,12.668000000000001,4.051500000000001,1.5977999999999999,142.06,130.91,137.46,142.48,142.81,88.151,111.99000000000001,37.672000000000004,10.056000000000001,15.972999999999997,89.27300000000001,33.739,27.964999999999996,38.986,39.649,38.757,103.15,107.50999999999999,104.2,105.95999999999998
FIN,96.101,98.757,99.072,101.06,96.41900000000001,6.726899999999999,12.668000000000001,0.0,7.3425,11.013,148.94000000000003,137.85999999999999,144.47000000000003,149.35999999999999,149.63,94.09400000000001,118.54,36.748000000000005,16.490000000000002,19.427,83.463,36.614,31.119,40.029,42.128,41.632000000000005,96.07000000000001,100.54,97.736,99.953
GBR,103.30999999999999,106.28,106.30000000000001,107.91,102.94,0.31606,4.051500000000001,7.3425,0.0,2.6069,146.8,135.59,142.32999999999998,147.25,147.60000000000002,91.49799999999999,116.03,37.127,11.620999999999999,16.419,87.71900000000001,35.267,29.325,40.396,41.586,40.870999999999995,103.6,108.00000000000001,105.09,107.0
IBS,102.36000000000001,105.25999999999999,105.19000000000001,106.67,101.92000000000002,2.5736,1.5977999999999999,11.013,2.6069,0.0,140.6,129.59,135.95,141.01,141.39000000000001,86.687,110.52999999999999,36.845,8.972399999999999,14.825,88.488,35.491,29.495,40.118,41.15899999999999,40.363,103.15,107.49000000000001,104.14000000000001,105.89000000000001
YRI,165.18,167.80999999999997,167.34,166.79000000000002,163.47,146.56,142.06,148.94000000000003,146.8,140.6,0.0,7.6773,6.4803999999999995,4.1249,0.95448,10.148000000000001,3.0340999999999996,135.26,105.20999999999998,117.95,169.85999999999999,130.5,127.16,126.97999999999998,127.40000000000002,128.29000000000002,171.45,174.12,168.25,167.41
LWK,156.04000000000002,158.64000000000001,158.15,157.53,154.29000000000002,135.35,130.91,137.85999999999999,135.59,129.59,7.6773,0.0,11.143,9.835700000000001,8.0505,10.717,6.8122,124.87,95.739,107.86,160.23,120.1,116.63,116.65,117.19,118.02,162.79000000000002,165.57,159.3,158.33
GWD,161.8,164.37,163.87,163.35999999999999,160.16,142.0,137.46,144.47000000000003,142.32999999999998,135.95,6.4803999999999995,11.143,0.0,3.8867,7.9354000000000005,11.612,6.4766,131.13,101.27,113.94999999999999,165.98,126.63,123.30000000000001,123.22000000000001,123.64999999999999,124.50999999999999,168.34,171.0,164.98,163.98
