Sample	MeanDepth
1	9.56
2	9.63
3	9.99
4	10.03
5	10.05
6	10.05
7	10.09
8	10.1
9	10.11
10	10.11
11	10.11
12	10.12
13	10.14
14	10.16
15	10.16
16	10.16
17	10.16
18	10.17
19	10.18
20	10.19
21	10.19
22	10.19
23	10.21
24	10.21
25	10.23
26	10.25
27	10.28
28	10.28
29	10.29
30	10.3
31	10.3
32	10.31
33	10.31
34	10.31
35	10.32
36	10.32
37	10.32
38	10.33
39	10.34
40	10.35
41	10.37
42	10.38
43	10.39
44	10.39
45	10.4
46	10.41
47	10.41
48	10.41
49	10.41
50	10.41
51	10.42
52	10.42
53	10.43
54	10.43
55	10.43
56	10.44
57	10.45
58	10.45
59	10.45
60	10.46
61	10.46
62	10.46
63	10.47
64	10.5
65	10.5
66	10.51
67	10.51
68	10.52
69	10.52
70	10.53
71	10.53
72	10.53
73	10.54
74	10.54
75	10.54
76	10.54
77	10.56
78	10.56
79	10.56
80	10.56
81	10.57
82	10.57
83	10.58
84	10.58
85	10.58
86	10.59
87	10.59
88	10.59
89	10.59
90	10.62
91	10.63
92	10.64
93	10.64
94	10.64
95	10.65
96	10.66
97	10.66
98	10.66
99	10.66
100	10.66
101	10.67
102	10.67
103	10.67
104	10.67
105	10.68
106	10.68
107	10.68
108	10.68
109	10.68
110	10.69
111	10.69
112	10.69
113	10.69
114	10.71
115	10.71
116	10.72
117	10.72
118	10.73
119	10.73
120	10.73
121	10.73
122	10.73
123	10.73
124	10.74
125	10.74
126	10.74
127	10.74
128	10.74
129	10.75
130	10.75
131	10.76
132	10.76
133	10.77
134	10.77
135	10.77
136	10.77
137	10.78
138	10.78
139	10.79
140	10.79
141	10.79
142	10.8
143	10.8
144	10.8
145	10.8
146	10.8
147	10.81
148	10.81
149	10.83
150	10.83
151	10.83
152	10.83
153	10.83
154	10.83
155	10.84
156	10.84
157	10.84
158	10.85
159	10.85
160	10.85
161	10.85
162	10.85
163	10.86
164	10.86
165	10.87
166	10.87
167	10.88
168	10.88
169	10.88
170	10.88
171	10.88
172	10.89
173	10.89
174	10.9
175	10.9
176	10.9
177	10.9
178	10.9
179	10.91
180	10.91
181	10.91
182	10.91
183	10.92
184	10.92
185	10.92
186	10.92
187	10.92
188	10.93
189	10.93
190	10.93
191	10.94
192	10.94
193	10.95
194	10.95
195	10.95
196	10.96
197	10.96
198	10.96
199	10.96
200	10.97
201	10.97
202	10.97
203	10.97
204	10.98
205	10.98
206	10.98
207	10.98
208	10.98
209	10.99
210	10.99
211	10.99
212	10.99
213	10.99
214	11
215	11
216	11
217	11.01
218	11.01
219	11.01
220	11.02
221	11.02
222	11.02
223	11.02
224	11.02
225	11.02
226	11.03
227	11.03
228	11.03
229	11.03
230	11.03
231	11.04
232	11.04
233	11.04
234	11.05
235	11.05
236	11.05
237	11.05
238	11.05
239	11.05
240	11.06
241	11.07
242	11.07
243	11.07
244	11.07
245	11.07
246	11.07
247	11.08
248	11.08
249	11.08
250	11.08
251	11.08
252	11.08
253	11.08
254	11.08
255	11.08
256	11.08
257	11.08
258	11.09
259	11.09
260	11.09
261	11.09
262	11.09
263	11.09
