	Anhui	Chongqing	Fujian	Gansu	Guangdong	Guangxi	Guizhou	Hainan	Hebei	Heilongjiang	Henan	Hubei	Hunan	InnerMongolia	Jiangsu	Jiangxi	Jilin	Liaoning	Ningxia	Qinghai	Shaanxi	Shandong	Shanxi	Sichuan	Yunnan	Zhejiang	Tianjin
Anhui	0.4366640440597954	0.36889991728701405	0.3676774193548387	0.3714586255259467	0.2632488479262673	0.24311565696302123	0.3788379323746599	0.2709677419354839	0.4355958781362007	0.4285954301075269	0.4429454326198372	0.37267839687194526	0.1952688172043011	0.4012096774193548	0.4400921658986175	0.38	0.4328505595786702	0.5156810035842294	0.38016129032258067	0.33986175115207373	0.39283761618370694	0.5187634408602151	0.41943313498277485	0.3568022440392707	0.35199780058651026	0.4336917562724014	0.5120967741935484
Chongqing	0.36889991728701405	0.4507422402159244	0.38769230769230767	0.3576365663322185	0.38278388278388276	0.3814884302689181	0.567191844300278	0.3630769230769231	0.3468660968660969	0.3392094017094017	0.3539420081476156	0.38461538461538464	0.25145299145299144	0.3314102564102564	0.35653235653235654	0.42786324786324786	0.35478806907378335	0.4045584045584046	0.3251282051282051	0.34798534798534797	0.32637983485441113	0.4076923076923077	0.3266118994274334	0.47959866220735786	0.45104895104895104	0.38977920227920226	0.391025641025641
Fujian	0.3676774193548387	0.38769230769230767	1.2598709677419355	0.2883478260869565	0.6632380952380953	0.4222439024390244	0.42380722891566264	0.79552	0.32611111111111113	0.3431666666666667	0.350803738317757	0.36848484848484847	0.25093333333333334	0.295	0.3565714285714286	0.54064	0.33861224489795916	0.37244444444444447	0.292	0.2634285714285714	0.29735593220338985	0.38544	0.3029126213592233	0.43109565217391305	0.369	0.6197222222222222	0.351
Gansu	0.3714586255259467	0.3576365663322185	0.2883478260869565	0.43752860411899314	0.23374741200828159	0.19427359490986215	0.385227867993714	0.22956521739130434	0.4236714975845411	0.4101449275362319	0.4276310442909386	0.3217391304347826	0.16742028985507246	0.40217391304347827	0.37908902691511387	0.3064927536231884	0.4275066548358474	0.4434782608695652	0.4062608695652174	0.39751552795031053	0.3992630803242447	0.4787246376811594	0.4178134233853947	0.3544045368620038	0.3575098814229249	0.34830917874396133	0.48967391304347824
Guangdong	0.2632488479262673	0.38278388278388276	0.6632380952380953	0.23374741200828159	0.4831591173054588	0.4796747967479675	0.41164658634538154	0.6285714285714286	0.2251984126984127	0.25892857142857145	0.25945705384957723	0.31457431457431456	0.24	0.23809523809523808	0.27607709750566894	0.4276190476190476	0.24975704567541301	0.25396825396825395	0.22285714285714286	0.20578231292517007	0.23890234059725585	0.2671428571428571	0.22376329172445678	0.38923395445134573	0.29924242424242425	0.3880621693121693	0.27380952380952384
Guangxi	0.24311565696302123	0.3814884302689181	0.4222439024390244	0.19427359490986215	0.4796747967479675	0.7378048780487805	0.4831031442844549	0.6673170731707317	0.18902439024390244	0.19308943089430894	0.21062229313881925	0.28159645232815966	0.22617886178861787	0.1823170731707317	0.22415795586527293	0.363739837398374	0.18068690890990544	0.23170731707317074	0.19317073170731708	0.1794425087108014	0.23232740801984292	0.21821138211382113	0.19677954061094008	0.44475079533404027	0.3531042128603104	0.32113821138211385	0.22865853658536586
Guizhou	0.3788379323746599	0.567191844300278	0.42380722891566264	0.385227867993714	0.41164658634538154	0.4831031442844549	0.8280928592418454	0.3980722891566265	0.3718206157965194	0.39282128514056225	0.39466276320234206	0.370938298649142	0.2733333333333333	0.34186746987951805	0.4044750430292599	0.45140562248995986	0.377182198180477	0.42971887550200805	0.3653012048192771	0.3420826161790017	0.3857463753318358	0.4242570281124498	0.35980816469762544	0.6091147197485595	0.5602409638554217	0.4276271753681392	0.40436746987951805
Hainan	0.2709677419354839	0.3630769230769231	0.79552	0.22956521739130434	0.6285714285714286	0.6673170731707317	0.3980722891566265	1.2066666666666668	0.2088888888888889	0.22333333333333333	0.25345794392523363	0.31757575757575757	0.2096	0.219	0.2914285714285714	0.43146666666666667	0.20653061224489797	0.24666666666666667	0.232	0.17714285714285713	0.21491525423728813	0.28053333333333336	0.22990291262135923	0.4132173913043478	0.3440909090909091	0.4222222222222222	0.245
Hebei	0.4355958781362007	0.3468660968660969	0.32611111111111113	0.4236714975845411	0.2251984126984127	0.18902439024390244	0.3718206157965194	0.2088888888888889	0.5215179968701096	0.5173611111111112	0.49493769470404986	0.3400673400673401	0.1825	0.49236111111111114	0.46593915343915343	0.35518518518518516	0.49489795918367346	0.5802469135802469	0.4266666666666667	0.37103174603174605	0.4194915254237288	0.5899074074074074	0.5031014023732471	0.3468599033816425	0.369949494949495	0.3900462962962963	0.5581597222222222
Heilongjiang	0.4285954301075269	0.3392094017094017	0.3431666666666667	0.4101449275362319	0.25892857142857145	0.19308943089430894	0.39282128514056225	0.22333333333333333	0.5173611111111112	0.5159574468085106	0.49182242990654207	0.35669191919191917	0.1738888888888889	0.4734375	0.4885912698412698	0.35583333333333333	0.5374149659863946	0.6145833333333334	0.41625	0.40327380952380953	0.4170197740112994	0.60625	0.4967637540453074	0.3431159420289855	0.36742424242424243	0.41116898148148145	0.5442708333333334
