panel	sample	AA_ccd	AB_ccd	BB_ccd	NR_ccd
CONV	jx0002	0.984857662	0.809160305	0.796610169	0.807522124
CONV	jx0004	0.988329238	0.818639798	0.884615385	0.829473684
CONV	jx0006	0.98556825	0.804232804	0.838709677	0.809090909
CONV	jx0008	0.986904762	0.790633609	0.833333333	0.796690307
CONV	jx0009	0.984839297	0.801033592	0.865671642	0.810572687
CONV	jx0011	0.990413421	0.802110818	0.8	0.801843318
CONV	jx0015	0.987849332	0.818181818	0.847222222	0.822757112
CONV	jx0016	0.98684997	0.789757412	0.796610169	0.790697674
CONV	jx0020	0.986568987	0.836787565	0.873417722	0.843010753
CONV	jx0021	0.995189417	0.809160305	0.893617021	0.818181818
CONV	jx0023	0.991566265	0.791237113	0.818181818	0.794582393
CONV	jx0024	0.988771054	0.809734513	0.833333333	0.812
CONV	jx0025	0.987871437	0.847938144	0.833333333	0.845814978
CONV	jx0026	0.993932039	0.823232323	0.779661017	0.817582418
CONV	jx0028	0.990931076	0.761394102	0.907894737	0.786191537
CONV	jx0031	0.995788207	0.821621622	0.718309859	0.804988662
CONV	jx0032	0.989221557	0.790190736	0.818181818	0.794457275
CONV	jx0033	0.983970407	0.8425	0.913580247	0.854469854
CONV	jx0034	0.991442543	0.815	0.671641791	0.794432548
CONV	jx0036	0.98816568	0.837758112	0.824324324	0.83535109
CONV	jx0037	0.991566265	0.831168831	0.862068966	0.835214447
CONV	jx0038	0.985092427	0.82122905	0.823529412	0.821596244
CONV	jx0040	0.991034071	0.801075269	0.931034483	0.818604651
CONV	jx0041	0.994528875	0.802005013	0.898305085	0.81441048
CONV	jx0043	0.992788462	0.829333333	0.8125	0.826879271
CONV	jx0044	0.990273556	0.815584416	0.863013699	0.823144105
CONV	jx0045	0.99202943	0.798029557	0.848484848	0.805084746
CONV	jx0046	0.987440191	0.81300813	0.806451613	0.812064965
CONV	jx0048	0.991611744	0.815013405	0.885245902	0.824884793
CONV	jx0049	0.992691839	0.784810127	0.878787879	0.798264642
CONV	jx0050	0.988435788	0.813299233	0.898550725	0.826086957
CONV	jx0055	0.990820073	0.786259542	0.868421053	0.799573561
CONV	jx0056	0.990464839	0.801136364	0.835616438	0.807058824
CONV	jx0057	0.984802432	0.800511509	0.805970149	0.801310044
CONV	jx0059	0.990442055	0.801630435	0.819672131	0.804195804
CONV	jx0061	0.985611511	0.790884718	0.838709677	0.797701149
CONV	jx0062	0.989169675	0.822751323	0.793650794	0.818594104
CONV	jx0063	0.988456865	0.83627204	0.75	0.824945295
CONV	jx0066	0.993357488	0.814136126	0.876923077	0.823266219
CONV	jx0067	0.991631799	0.787634409	0.810344828	0.790697674
CONV	jx0068	0.987692308	0.801980198	0.878378378	0.813807531
CONV	jx0070	0.995127893	0.839694656	0.75	0.826464208
CONV	jx0071	0.988372093	0.82566586	0.75	0.81663113
CONV	jx0073	0.990430622	0.811671088	0.796296296	0.80974478
CONV	jx0074	0.98989899	0.836111111	0.833333333	0.835714286
CONV	jx0077	0.988016777	0.822404372	0.808823529	0.820276498
CONV	jx0079	0.989544895	0.801507538	0.848101266	0.809224319
CONV	jx0080	0.996341463	0.8	0.871794872	0.812095032
CONV	jx0081	0.989608802	0.798994975	0.797101449	0.798715203
CONV	jx0082	0.985374771	0.856423174	0.861538462	0.857142857
CONV	jx0083	0.9910018	0.798429319	0.777777778	0.79587156
CONV	jx0084	0.992248062	0.801652893	0.888888889	0.814553991
CONV	jx0085	0.989182692	0.788617886	0.814285714	0.792710706
CONV	jx0088	0.990361446	0.828644501	0.807692308	0.826185102
CONV	jx0089	0.987218503	0.832061069	0.835820896	0.832608696
CONV	jx0091	0.994518879	0.820512821	0.85915493	0.826464208
CONV	jx0092	0.985576923	0.838961039	0.796296296	0.833712984
CONV	jx0093	0.994561934	0.835051546	0.866666667	0.839285714
CONV	jx0094	0.994022714	0.807162534	0.835820896	0.811627907
CONV	jx0095	0.9910018	0.819892473	0.78125	0.814220183
CONV	jx0097	0.992691839	0.79389313	0.867647059	0.804772234
CONV	jx0099	0.989071038	0.794805195	0.788732394	0.793859649
CONV	jx0101	0.992087645	0.801007557	0.841269841	0.806521739
CONV	jx0102	0.994441013	0.839901478	0.858974359	0.842975207
CONV	jx0103	0.99092559	0.79950495	0.826086957	0.802222222
CONV	jx0104	0.991611744	0.781914894	0.896551724	0.797235023
CONV	jx0105	0.987922705	0.80839895	0.924242424	0.825503356
CONV	jx0106	0.990396158	0.797333333	0.870967742	0.80778032
CONV	jx0107	0.989051095	0.820375335	0.860465116	0.82788671
CONV	jx0108	0.985756677	0.850543478	0.82	0.846889952
CONV	jx0109	0.989298454	0.777472527	0.807017544	0.781472684
CONV	jx0110	0.9880024	0.822102426	0.753846154	0.811926606
CONV	jx0112	0.991621783	0.801630435	0.796875	0.800925926
CONV	jx0113	0.987126975	0.829787234	0.815384615	0.827411168
CONV	jx0116	0.989746683	0.805333333	0.914285714	0.82247191
CONV	jx0117	0.989678203	0.765306122	0.828125	0.774122807
CONV	jx0118	0.990630856	0.819672131	0.853333333	0.824701195
CONV	jx0119	0.992044064	0.820895522	0.835820896	0.823027719
CONV	jx0120	0.991473812	0.805555556	0.846153846	0.811279826
CONV	jx0122	0.994485294	0.791767554	0.810344828	0.794055202
CONV	jx0123	0.992116434	0.788029925	0.886792453	0.799559471
CONV	jx0126	0.988286067	0.774418605	0.823529412	0.77962578
CONV	jx0127	0.990952955	0.825065274	0.822580645	0.824719101
CONV	jx0131	0.992624462	0.840963855	0.803278689	0.836134454
CONV	jx0132	0.990373045	0.819371728	0.847457627	0.823129252
CONV	jx0133	0.990361446	0.795698925	0.802816901	0.796839729
CONV	jx0134	0.989304813	0.792134831	0.8125	0.795238095
CONV	jx0135	0.995192308	0.811989101	0.763888889	0.804100228
CONV	jx0136	0.992121212	0.817258883	0.813559322	0.816777042
CONV	jx0137	0.987218503	0.8	0.872727273	0.808695652
CONV	jx0138	0.991484185	0.830808081	0.857142857	0.834422658
CONV	jx0139	0.992714026	0.802083333	0.902777778	0.817982456
CONV	jx0140	0.985419198	0.831202046	0.833333333	0.831509847
CONV	jx0141	0.990436342	0.823369565	0.822580645	0.823255814
CONV	jx0142	0.989608802	0.813895782	0.71875	0.800856531
CONV	jx0143	0.99023795	0.836683417	0.818181818	0.834051724
CONV	jx0144	0.989064399	0.805774278	0.868421053	0.81619256
CONV	jx0146	0.9910018	0.837333333	0.836065574	0.837155963
CONV	jx0147	0.994468347	0.831730769	0.916666667	0.842436975
CONV	jx0150	0.991504854	0.8125	0.8	0.810989011
CONV	jx0151	0.991202346	0.817629179	0.84057971	0.82160804
CONV	jx0153	0.991540785	0.840616967	0.830508475	0.839285714
CONV	jx0154	0.990442055	0.831932773	0.805555556	0.827505828
CONV	jx0155	0.990836897	0.800511509	0.84	0.806866953
CONV	jx0157	0.989176188	0.846153846	0.841269841	0.845454545
CONV	jx0158	0.991499696	0.796391753	0.852941176	0.804824561
CONV	jx0160	0.992019644	0.785365854	0.859375	0.79535865
CONV	jx0161	0.988386308	0.780856423	0.871428571	0.794432548
CONV	jx0162	0.987951807	0.799485861	0.851851852	0.805869074
CONV	jx0163	0.987937274	0.776041667	0.868852459	0.788764045
CONV	jx0164	0.988957055	0.815724816	0.803030303	0.813953488
CONV	jx0166	0.993381468	0.791891892	0.802816901	0.793650794
CONV	jx0167	0.988512696	0.817010309	0.803278689	0.815144766
CONV	jx0168	0.991341991	0.829326923	0.742857143	0.816872428
CONV	jx0169	0.992116434	0.802631579	0.810810811	0.803964758
CONV	jx0171	0.987569919	0.805620609	0.776119403	0.801619433
CONV	jx0172	0.990338164	0.802631579	0.850746269	0.8098434
CONV	jx0173	0.98502994	0.804177546	0.8	0.80369515
CONV	jx0174	0.989266547	0.810055866	0.823529412	0.812206573
CONV	jx0176	0.990952955	0.8125	0.852459016	0.817977528
CONV	jx0177	0.988963826	0.848258706	0.771428571	0.836864407
CONV	jx0178	0.992705167	0.827763496	0.855072464	0.831877729
CONV	jx0179	0.992106861	0.794344473	0.850746269	0.802631579
CONV	jx0181	0.990384615	0.822033898	0.835294118	0.824601367
CONV	jx0182	0.989646772	0.792	0.848837209	0.802603037
CONV	jx0183	0.991442543	0.798994975	0.768115942	0.794432548
CONV	jx0188	0.989110708	0.786632391	0.770491803	0.784444444
CONV	jx0189	0.990255786	0.82396088	0.826923077	0.824295011
CONV	jx0191	0.988997555	0.825641026	0.818181818	0.824411135
CONV	jx0193	0.990892532	0.807017544	0.824561404	0.809210526
CONV	jx0194	0.990831296	0.813559322	0.814814815	0.813704497
CONV	jx0195	0.983091787	0.846153846	0.871428571	0.850111857
CONV	jx0197	0.988322065	0.780927835	0.863636364	0.796218487
CONV	jx0198	0.988861386	0.785714286	0.895522388	0.800821355
CONV	jx0199	0.990279465	0.791878173	0.825396825	0.796498906
CONV	jx0201	0.989228007	0.792349727	0.727272727	0.782407407
CONV	jx0202	0.983394834	0.827160494	0.861111111	0.832285115
CONV	jx0203	0.995828367	0.8	0.892307692	0.814117647
CONV	jx0204	0.990780578	0.824390244	0.833333333	0.825630252
CONV	jx0206	0.983050847	0.788511749	0.779411765	0.78713969
CONV	jx0207	0.990396158	0.81420765	0.845070423	0.819221968
CONV	jx0208	0.989215099	0.797814208	0.867647059	0.80875576
CONV	jx0211	0.990836897	0.791044776	0.875	0.802575107
CONV	jx0212	0.993943065	0.829015544	0.803030303	0.825221239
CONV	jx0213	0.987767584	0.808080808	0.819444444	0.80982906
CONV	jx0214	0.988491823	0.801526718	0.779661017	0.798672566
CONV	jx0215	0.991044776	0.768361582	0.837837838	0.780373832
CONV	jx0216	0.988970588	0.86	0.774647887	0.847133758
CONV	jx0217	0.988957055	0.801909308	0.814814815	0.803382664
CONV	jx0219	0.985849057	0.830246914	0.78313253	0.820638821
CONV	jx0221	0.99092559	0.796992481	0.882352941	0.806666667
CONV	jx0223	0.991550996	0.804123711	0.775862069	0.80044843
CONV	jx0224	0.98902439	0.832512315	0.807017544	0.82937365
CONV	jx0225	0.99204893	0.8125	0.928571429	0.833333333
CONV	jx0226	0.992092457	0.833759591	0.779411765	0.825708061
CONV	jx0227	0.989247312	0.817204301	0.789473684	0.813519814
CONV	jx0228	0.99112426	0.810344828	0.861538462	0.818401937
CONV	jx0229	0.987334138	0.808184143	0.87037037	0.815730337
CONV	jx0231	0.988888889	0.811455847	0.703125	0.797101449
CONV	jx0232	0.988477865	0.787878788	0.896551724	0.801762115
CONV	jx0233	0.989627822	0.840399002	0.777777778	0.831896552
CONV	jx0234	0.987265009	0.809876543	0.775510204	0.806167401
CONV	jx0236	0.991701245	0.778089888	0.783333333	0.778846154
CONV	jx0237	0.99332929	0.804020101	0.857142857	0.810572687
CONV	jx0238	0.989850746	0.797843666	0.789473684	0.796728972
CONV	jx0239	0.990985577	0.842105263	0.881355932	0.84738041
CONV	jx0240	0.991484185	0.781333333	0.785714286	0.782135076
CONV	jx0241	0.990105133	0.821686747	0.816901408	0.820987654
CONV	jx0242	0.990413421	0.843915344	0.875	0.847926267
CONV	jx0243	0.988595438	0.832	0.887096774	0.839816934
CONV	jx0244	0.990159902	0.81773399	0.788732394	0.813417191
CONV	jx0245	0.992736077	0.797979798	0.781818182	0.796008869
CONV	jx0246	0.989671932	0.808290155	0.76056338	0.800875274
CONV	jx0248	0.989653074	0.854636591	0.770491803	0.843478261
CONV	jx0249	0.990898058	0.814814815	0.8	0.813186813
CONV	jx0251	0.993284493	0.823244552	0.846153846	0.825806452
CONV	jx0254	0.983303518	0.802168022	0.929824561	0.819248826
CONV	jx0255	0.990080595	0.8	0.893333333	0.814285714
CONV	jx0257	0.991520291	0.797435897	0.85483871	0.805309735
CONV	jx0258	0.989678203	0.772609819	0.869565217	0.787280702
CONV	jx0259	0.989123867	0.828496042	0.884057971	0.837053571
CONV	jx0260	0.990892532	0.792592593	0.823529412	0.796052632
CONV	jx0262	0.986026731	0.8	0.805194805	0.800875274
CONV	jx0263	0.989874926	0.806094183	0.857142857	0.813679245
CONV	jx0264	0.98907767	0.815104167	0.816901408	0.815384615
CONV	jx0265	0.989671932	0.835820896	0.8	0.831509847
CONV	jx0266	0.991920447	0.811363636	0.87037037	0.817813765
CONV	jx0268	0.987849332	0.829457364	0.828571429	0.829321663
CONV	jx0269	0.994498778	0.801470588	0.779661017	0.798715203
CONV	jx0270	0.987707437	0.828784119	0.863013699	0.834033613
CONV	jx0271	0.99331307	0.803069054	0.791044776	0.801310044
CONV	jx0272	0.992840095	0.821989529	0.866666667	0.826697892
CONV	jx0273	0.986333928	0.808333333	0.9	0.821428571
CONV	jx0274	0.990942029	0.832061069	0.833333333	0.832214765
CONV	jx0275	0.988936693	0.785542169	0.754098361	0.781512605
CONV	jx0276	0.991730656	0.814705882	0.857142857	0.82195122
CONV	jx0277	0.98961515	0.813602015	0.884057971	0.824034335
CONV	jx0278	0.987864078	0.824561404	0.910714286	0.835164835
CONV	jx0281	0.993243243	0.782926829	0.861538462	0.793684211
CONV	jx0282	0.989659367	0.823383085	0.754385965	0.814814815
CONV	jx0283	0.988909427	0.752380952	0.816666667	0.760416667
CONV	jx0284	0.989783654	0.808900524	0.789473684	0.806378132
CONV	jx0285	0.990769231	0.799516908	0.78125	0.79707113
CONV	jx0286	0.99205379	0.8	0.822580645	0.802997859
CONV	jx0289	0.992102066	0.776155718	0.869565217	0.785557987
CONV	jx0291	0.989090909	0.792	0.833333333	0.799116998
CONV	jx0292	0.993436754	0.818696884	0.878378378	0.829039813
CONV	jx0293	0.986762936	0.827956989	0.768115942	0.818594104
CONV	jx0295	0.995221027	0.81305638	0.847826087	0.820512821
CONV	jx0296	0.984375	0.803814714	0.777777778	0.799544419
CONV	jx0297	0.991606715	0.805479452	0.871428571	0.816091954
CONV	jx0299	0.989850746	0.826815642	0.871428571	0.83411215
CONV	jx0300	0.992145015	0.816	0.794520548	0.8125
CONV	jx0301	0.992210905	0.824146982	0.867924528	0.829493088
CONV	jx0304	0.986244019	0.802739726	0.818181818	0.805104408
CONV	jx0305	0.988322065	0.807881773	0.8	0.806722689
CONV	jx0306	0.991641791	0.832869081	0.811594203	0.829439252
CONV	jx0307	0.993201483	0.838709677	0.804878049	0.832989691
CONV	jx0309	0.98856799	0.795865633	0.814814815	0.798185941
CONV	jx0310	0.990870359	0.832041344	0.876712329	0.839130435
CONV	jx0311	0.990459153	0.850543478	0.913793103	0.85915493
CONV	jx0312	0.989240885	0.769230769	0.772727273	0.769767442
CONV	jx0313	0.988206083	0.860911271	0.906666667	0.867886179
CONV	jx0316	0.988350705	0.78177458	0.8	0.783898305
CONV	jx0317	0.989182692	0.827586207	0.919354839	0.840546697
CONV	jx0318	0.986690865	0.826873385	0.793650794	0.822222222
CONV	jx0319	0.990803188	0.827250608	0.803278689	0.824152542
CONV	jx0320	0.98902439	0.774752475	0.915254237	0.792656587
CONV	jx0322	0.989653074	0.794486216	0.885245902	0.806521739
CONV	jx0323	0.988235294	0.802409639	0.849315068	0.80942623
CONV	jx0324	0.990279465	0.806701031	0.84057971	0.811816193
CONV	jx0325	0.988574865	0.807291667	0.803571429	0.806818182
CONV	jx0326	0.99331307	0.765743073	0.803278689	0.770742358
CONV	jx0329	0.985611511	0.830238727	0.810344828	0.827586207
CONV	jx0331	0.987864078	0.818639798	0.75862069	0.810989011
CONV	jx0332	0.992844365	0.789915966	0.855072464	0.800469484
CONV	jx0333	0.986706949	0.859007833	0.8	0.850446429
CONV	jx0334	0.987280436	0.835978836	0.810810811	0.831858407
CONV	jx0335	0.988595438	0.815508021	0.873015873	0.823798627
CONV	jx0339	0.990332326	0.826666667	0.890410959	0.837053571
CONV	jx0340	0.990320629	0.80952381	0.861111111	0.817777778
CONV	jx0341	0.988970588	0.820448878	0.842857143	0.823779193
CONV	jx0342	0.988512696	0.821989529	0.820895522	0.821826281
CONV	jx0345	0.993116395	0.784897025	0.838235294	0.792079208
CONV	jx0346	0.99040192	0.790190736	0.84057971	0.798165138
CONV	jx0347	0.991550996	0.780104712	0.875	0.793721973
CONV	jx0349	0.991621783	0.789893617	0.857142857	0.798611111
CONV	jx0350	0.989838613	0.794195251	0.882352941	0.804651163
CONV	jx0351	0.992130751	0.813471503	0.784615385	0.809312639
CONV	jx0353	0.991545894	0.820512821	0.842105263	0.823266219
CONV	jx0356	0.989176188	0.832061069	0.914893617	0.840909091
CONV	jx0357	0.988372093	0.788461538	0.849056604	0.795309168
CONV	jx0358	0.992792793	0.801061008	0.852459016	0.808219178
