panel	maf	AA_ccd	AA_ccd_sem	AB_ccd	AB_ccd_sem	BB_ccd	BB_ccd_sem	NR_ccd	NR_ccd_sem
OKG	RARE	0.998289631	2.23E-05	0.544055837	0.004495308	0.992187501	0.000281821	0.86171766	0.001960922
OKG	LFRQ	0.996905708	3.03E-05	0.769761074	0.004054875	0.992032563	0.000197492	0.901380264	0.001265961
OKG	COMM	0.972644887	0.000410539	0.940677995	0.000353643	0.957264802	0.000492078	0.948311582	0.000184828
CONV	RARE	0.999785038	7.55E-06	0.2957303	0.005650245	0.995353537	0.000184665	0.78912427	0.003013258
CONV	LFRQ	0.998581734	3.34E-05	0.599145441	0.006151779	0.991678764	0.000216339	0.830852783	0.001794998
CONV	COMM	0.972498238	0.000432916	0.931206596	0.000723022	0.959669811	0.000449292	0.944032115	0.000264466
WBKG	RARE	0.99912884	1.41E-05	0.673444651	0.003047161	0.995526244	0.000211055	0.90255503	0.0012971
WBKG	LFRQ	0.997715295	2.61E-05	0.856346749	0.002581653	0.994446316	0.000136314	0.938104195	0.000826161
WBKG	COMM	0.980730298	0.000303969	0.961454992	0.000234652	0.971493999	0.000355938	0.966078723	0.000163299
WBEA	RARE	0.999179178	1.49E-05	0.665407767	0.003211729	0.996033561	0.00017029	0.900056641	0.001424297
WBEA	LFRQ	0.997606337	3.27E-05	0.858875674	0.002548222	0.994550557	0.00013567	0.939207371	0.000818991
WBEA	COMM	0.980386611	0.000311758	0.962125139	0.000236542	0.972341971	0.00034515	0.966786129	0.000165882
WBBC	RARE	0.999354617	1.42E-05	0.646653209	0.003345391	0.995781192	0.000177458	0.894433034	0.001483968
WBBC	LFRQ	0.997741219	3.18E-05	0.847736993	0.002668542	0.994172259	0.000140145	0.934358439	0.000849695
WBBC	COMM	0.978232539	0.00035221	0.956262994	0.000258459	0.968464382	0.000388645	0.961788068	0.000180777
