panel	AA_ccd	AB_ccd	BB_ccd	NR_ccd
OKG	0.992451033	0.926813646	0.963272838	0.941591637
OKG	0.992727858	0.93200238	0.965150906	0.945107053
OKG	0.990713147	0.923109444	0.961039565	0.938375678
OKG	0.993139604	0.936373366	0.970161871	0.949919624
OKG	0.992265317	0.927140284	0.963092247	0.942229273
OKG	0.992078452	0.922362061	0.966381461	0.939986092
OKG	0.991351584	0.930473809	0.96505466	0.944415351
OKG	0.993119926	0.929280025	0.973276893	0.946714247
OKG	0.99055139	0.934384896	0.958423007	0.943785464
OKG	0.992303909	0.922793892	0.959866372	0.937807375
OKG	0.992351983	0.924047053	0.965344596	0.940228154
OKG	0.991486564	0.923344158	0.96334569	0.940363643
OKG	0.991668023	0.920451696	0.963641669	0.93780095
OKG	0.991278674	0.9237654	0.960110924	0.938588948
OKG	0.991668754	0.934315163	0.968408478	0.94744128
OKG	0.992866817	0.926990029	0.96836519	0.94357133
OKG	0.99078178	0.932086021	0.961223055	0.943491141
OKG	0.991158295	0.92938805	0.955834086	0.939564638
OKG	0.991966207	0.922735803	0.961603491	0.938647897
OKG	0.992594994	0.932561825	0.969700544	0.946845572
OKG	0.993157797	0.935195022	0.962706255	0.945857268
OKG	0.990856272	0.922917879	0.963266729	0.939202558
OKG	0.992576944	0.92915154	0.968726486	0.944546332
OKG	0.991300827	0.919176694	0.960516166	0.936858677
OKG	0.992613495	0.924145754	0.963561029	0.940160588
OKG	0.992357642	0.931390636	0.968500454	0.946003429
OKG	0.992628626	0.925900665	0.967359474	0.942027375
OKG	0.991404917	0.932992012	0.964743665	0.945333223
OKG	0.991622079	0.92432623	0.953569757	0.936052187
OKG	0.991089377	0.92839464	0.964328208	0.942748109
OKG	0.993119903	0.924329546	0.969486018	0.94197405
OKG	0.990813357	0.925234921	0.959267822	0.938470665
OKG	0.991204426	0.926020505	0.96048334	0.939728782
OKG	0.993691107	0.932283562	0.971273569	0.947955924
OKG	0.99245585	0.928537821	0.96656006	0.943750294
OKG	0.992537529	0.927034907	0.96430725	0.942114795
OKG	0.991351733	0.924738643	0.960546861	0.93915615
OKG	0.992741999	0.930656934	0.960961277	0.942773565
OKG	0.992713476	0.927418377	0.972242019	0.944699281
OKG	0.992389439	0.922737358	0.968750364	0.941051528
OKG	0.991131794	0.934511699	0.958828151	0.944507632
OKG	0.99256816	0.932315438	0.964745854	0.944645329
OKG	0.992271587	0.929197031	0.969846052	0.945024678
OKG	0.991888017	0.92633466	0.965606413	0.941952161
OKG	0.992961602	0.924295611	0.966756988	0.941164957
OKG	0.991085835	0.927311549	0.966195849	0.94277565
OKG	0.992012766	0.924937108	0.964020579	0.940424717
OKG	0.992365809	0.926053369	0.962513808	0.940291864
OKG	0.993195417	0.934215288	0.969175428	0.94818787
OKG	0.991778182	0.927937638	0.964772713	0.942090897
OKG	0.991991111	0.929605534	0.966971253	0.94449937
OKG	0.993031778	0.929073567	0.969764096	0.945515364
OKG	0.991986588	0.929462092	0.964260863	0.943539455
OKG	0.992294911	0.931313254	0.963728284	0.943900655
OKG	0.992622286	0.93534443	0.965241518	0.947198626
OKG	0.990668327	0.928106419	0.959237588	0.940460262
OKG	0.99135401	0.921636379	0.956855555	0.936035344
OKG	0.992582118	0.929015819	0.971257813	0.946192375
OKG	0.992797489	0.927338543	0.964113339	0.941544227
OKG	0.991262116	0.924811568	0.966133617	0.941304789
OKG	0.992769218	0.931363619	0.96758216	0.94566008
OKG	0.99235272	0.927567663	0.966746303	0.94381715
OKG	0.991869835	0.921887983	0.962840738	0.939080212
OKG	0.992929305	0.929600431	0.966848897	0.944407889
OKG	0.993591646	0.934883828	0.971533274	0.949601192
OKG	0.991177814	0.930286355	0.964232048	0.943653179
OKG	0.991616906	0.931043559	0.961436047	0.94301189
OKG	0.992585974	0.932299229	0.968329252	0.945960392
OKG	0.992669892	0.925268628	0.967524892	0.9425197
OKG	0.992076617	0.925282906	0.95823813	0.937924768
OKG	0.990818559	0.927379552	0.96043635	0.940005122
OKG	0.991460057	0.924340261	0.968200464	0.942417549
OKG	0.992632424	0.93038545	0.967533726	0.945515262
OKG	0.992255909	0.930621506	0.972014794	0.946804616
OKG	0.991965328	0.923559184	0.965544412	0.940868548
OKG	0.992725652	0.929148934	0.970100503	0.946073642
OKG	0.992736637	0.929316242	0.970570904	0.945642184
OKG	0.991693275	0.925750889	0.962689463	0.940292842
OKG	0.991328272	0.924949532	0.96105581	0.939948521
OKG	0.991597122	0.918740226	0.964599096	0.93664584
OKG	0.992641788	0.929516072	0.966257201	0.943742079
OKG	0.992679937	0.930268491	0.96641466	0.944751818
OKG	0.992065513	0.924463696	0.965700208	0.940615417
